FID_,COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,MEASURE,OFFSET,EVENTTYPE,AGENCY_CD,STATION_NM,STATE_CD,STATE,SITESTATUS,DA_SQ_MILE,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,REVIEWED,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV_,GOTQ,HUC,HUC_REG,SUBREGION,ACCOUNTING
NA,0,11/21/2006 0:00:00,17050117000039,NA,medium,0,0,"USGS, Water Resources Division",NA,13220500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13220500,5.816474,0,StreamGage,USGS,"MALHEUR RIVER NEAR HOPE, OREG.",41,OR,I,3030,-117.481574,43.944325,-117.478157,43.944087,274.653,Y,28,0.667,0.146,1,19190530,19490930,10375,10375,4,10,22,37,55,64,73,93,129,170,228,269,315.8,450,685.6,1820,5420,226.053,321.949,1,17050117,17,1705,170501
NA,0,11/21/2006 0:00:00,17090004000746,NA,medium,0,0,"USGS, Water Resources Division",NA,14164700,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14164700,90.821992,0,StreamGage,USGS,"CEDAR CREEK AT SPRINGFIELD, OR",41,OR,A,9.62,-122.919664,44.059348,-122.919593,44.059558,24.174,Y,3,0.583,0.126,1,20011001,20040930,1096,1096,3.8,6.588,11,13,16,18,21,24,27,30,34,38,46,71,95,148.12,385,35.506,31.235,1,17090004,17,1709,170900
NA,0,11/21/2006 0:00:00,17090001007505,NA,medium,0,0,"USGS, Water Resources Division",NA,14150900,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14150900,20.115962,0,StreamGage,USGS,"FALL CREEK LAKE NEAR LOWELL,OREG.",41,OR,I,184,-122.756737,43.944293,-122.755638,43.943008,168.117,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17090001,17,1709,170900
NA,0,11/21/2006 0:00:00,17050122000238,NA,medium,0,0,"USGS, Water Resources Division",NA,13247500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13247500,65.361498,0,StreamGage,USGS,PAYETTE RIVER NR HORSESHOE BEND ID,16,ID,A,2220,-116.196666,43.943333,-116.197097,43.942184,132.692,Y,95,0.83,0.06,1,19061001,20040930,34761,34761,260,607,746,850,1030,1140,1280,1560,1970,2640,3440,3680,4560,7720,10300,14600,21700,3206.071,3127.433,1,17050122,17,1705,170501
NA,0,11/21/2006 0:00:00,17040218000108,NA,medium,0,0,"USGS, Water Resources Division",NA,13127000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13127000,48.42181,0,StreamGage,USGS,BIG LOST RIVER BL MACKAY RES NR MACKAY ID,16,ID,A,813,-113.648333,43.939166,-113.648498,43.939014,21.491,Y,91,0.79,0.078,1,19031201,20040930,33339,33339,22,49,65,80,98,106,114,131,161,194,290,379,493,743,971,1750,2990,305.429,343.039,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000446,NA,medium,0,0,"USGS, Water Resources Division",NA,13054300,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13054300,87.24701,0,StreamGage,USGS,BITCH CREEK NR LAMONT ID,16,ID,I,80.9,-111.17939,43.937972,-111.179588,43.937988,15.927,Y,3,0.678,0.048,1,19741001,19771104,1131,1131,17,25,26,28,31,33,34,38,42,49,66.4,95,150.2,444,824.8,1120,1620,144.943,251.772,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040218000079,NA,medium,0,0,"USGS, Water Resources Division",NA,13131500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13131500,52.184057,0,StreamGage,USGS,PASS CREEK NR LESLIE ID,16,ID,I,23.6,-113.447036,43.936055,-113.446752,43.935997,23.584,Y,1,0.921,-999999,1,19200423,19220930,560,560,5.1,5.3,5.305,6,7.4,8,8.5,10,11,13,16,18,21.8,40.9,47,56.78,63,16.153,12.575,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17040218000185,NA,medium,0,0,"USGS, Water Resources Division",NA,13120000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13120000,9.601745,0,StreamGage,USGS,NF BIG LOST RIVER AT WILD HORSE NR CHILLY ID,16,ID,A,114,-114.1125,43.933611,-114.112182,43.93328,44.728,Y,60,0.736,0.061,1,19440401,20040930,22098,22098,9.5,14,17,19,22,23,25,30,36,48,71,98,139,296.1,429,766.01,1410,102.082,155.444,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17040218000349,NA,medium,0,0,"USGS, Water Resources Division",NA,13125500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13125500,36.094621,0,StreamGage,USGS,SURFACE INFLOW TO MACKAY RES NR MACKAY ID,16,ID,I,766,-113.750863,43.933244,-113.747879,43.932128,269.195,N,40,0.828,0.08,1,19191001,19591106,14647,14647,75,91,107,118,130,135,140,150,159,170,185,198,233,558.2,870,1585.2,2760,259.338,297.577,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17070301000177,NA,medium,0,0,"USGS, Water Resources Division",NA,14064500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14064500,25.292756,0,StreamGage,USGS,"DESCHUTES R AT BENHAM FALLS NR BEND,OREG.",41,OR,I,1759,-121.411974,43.930117,-121.411552,43.930511,55.452,Y,65,0.962,0.019,1,19240212,19910930,23973,23973,400,497,561,627,835,905,975,1120,1260,1440,1630,1780,1970,2300,2510,2840,3410,1376.704,604.838,1,17070301,17,1707,170703
NA,0,11/21/2006 0:00:00,17050122000146,NA,medium,0,0,"USGS, Water Resources Division",NA,13249500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13249500,55.776787,0,StreamGage,USGS,PAYETTE RIVER NR EMMETT ID,16,ID,A,2680,-116.442777,43.930555,-116.442779,43.930152,44.911,Y,79,0.764,0.051,1,19250611,20040930,28967,28967,0.7,452,665,815,1020,1120,1250,1560,1810,2020,2540,3170,4250,7260,9796,13900,26500,2921.222,3002.843,1,17050122,17,1705,170501
NA,0,11/21/2006 0:00:00,17040204000106,NA,medium,0,0,"USGS, Water Resources Division",NA,13055000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055000,23.679369,0,StreamGage,USGS,TETON RIVER NR ST ANTHONY ID,16,ID,A,890,-111.616071,43.927134,-111.615501,43.926502,84.002,Y,87,0.828,0.044,1,18900101,20040930,31809,31809,199,290,330,356,405,426,450,507,590,685,820,929,1100,1740,2430,3800,6970,850.051,716.363,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000220,NA,medium,0,0,"USGS, Water Resources Division",NA,13054200,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13054200,92.874255,0,StreamGage,USGS,TETON RIVER BL BADGER CREEK NR LAMONT ID,16,ID,I,547,-111.281337,43.91658,-111.281898,43.916446,47.282,Y,3,0.85,0.053,1,19740916,19771019,1130,1130,230,254.62,286,300,334,350,362.3,393,455.5,515,586.7,642.25,742,1330,1804.5,2213.8,2670,619.789,459.472,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17090001007379,NA,medium,0,0,"USGS, Water Resources Division",NA,14149000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14149000,5.612837,0,StreamGage,USGS,"LOOKOUT POINT LAKE NEAR LOWELL,OREG.",41,OR,I,991,-122.75118,43.913737,-122.75077,43.914356,76.447,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17090001,17,1709,170900
NA,0,11/21/2006 0:00:00,17040204000130,NA,medium,0,0,"USGS, Water Resources Division",NA,13054805,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13054805,14.966597,0,StreamGage,USGS,TETON RIVER BL TETON DAM NR NEWDALE ID,16,ID,I,851,-111.576069,43.913802,-111.575607,43.914108,50.348,Y,2,0.699,0.172,1,19741022,19771017,1092,1092,80,291,299,303,323,335.25,360,407,440,516.8,625.2,661,816.2,1507,2677,3807,122000,822.547,3740.127,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17090001000398,NA,medium,0,0,"USGS, Water Resources Division",NA,14150800,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14150800,32.71712,0,StreamGage,USGS,"WINBERRY CREEK NEAR LOWELL,OR",41,OR,A,43.9,-122.688676,43.914292,-122.688957,43.913719,67.775,Y,22,0.464,0.068,1,19630901,20040930,8066,8066,2,2.9,4.5,6.2,10,13,17,33,57,89,124.9,149,178,267,385,806.98,3130,113.705,175.8,1,17090001,17,1709,170900
NA,0,11/21/2006 0:00:00,17040204000135,NA,medium,0,0,"USGS, Water Resources Division",NA,13054800,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13054800,24.454961,0,StreamGage,USGS,TETON RESERVOIR NR NEWDALE ID,16,ID,I,851,-111.538568,43.90908,-111.53949,43.911844,317.041,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000107,NA,medium,0,0,"USGS, Water Resources Division",NA,13050000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13050000,20.816967000000002,0,StreamGage,USGS,DIV FROM HENRYS FORK BTW ASHTON/ST ANTHONY ID,16,ID,I,-999999,-111.586903,43.913801,-111.5839,43.911827,325.963,N,5,0.867,0.034,1,19660501,19770930,1866,1866,293,386.34,506.35,559,727.8,811,867.1,989.4,1080,1180,1270,1312.5,1360,1480,1600,1760,1930,1060.429,335.958,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17050116002424,NA,medium,0,0,"USGS, Water Resources Division",NA,13217000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13217000,1.333236,0,StreamGage,USGS,"BEULAH RESERVOIR AT BEULAH,OREG.",41,OR,I,440,-118.157971,43.911269,-118.157417,43.911442,48.386,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17050116,17,1705,170501
NA,0,11/21/2006 0:00:00,17060201000981,NA,medium,0,0,"USGS, Water Resources Division",NA,13292380,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13292380,29.625096,0,StreamGage,USGS,POLE CREEK BELOW POLE CR RANGER STN NR OBSIDIAN ID,16,ID,A,18.5,-114.756388,43.91,-114.75645,43.909874,14.865,Y,0,0,0,0,20030601,20040930,305,305,12,12.06,15,17,18,19,20,23,24,25,27,28,30,37,60.7,94.82,120,27.249,15.593,1,17060201,17,1706,170602
NA,0,11/21/2006 0:00:00,17050116000055,NA,medium,0,0,"USGS, Water Resources Division",NA,13217500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13217500,76.099838,0,StreamGage,USGS,NORTH FORK MALHEUR RIVER AT BEULAH OR,41,OR,A,440,-118.153333,43.9075,-118.153266,43.907661,18.774,Y,77,0.735,0.098,1,19260626,20030930,28182,26758,0,0,0,0.1,0.2,0.4,0.8,14,46,113,216,252,287,358,437,806.17,3700,137.033,184.229,1,17050116,17,1705,170501
NA,0,11/21/2006 0:00:00,17040101000234,NA,medium,0,0,"USGS, Water Resources Division",NA,13010450,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13010450,33.827244,0,StreamGage,USGS,PILGRIM CR 70 FT ABV HWY 287 BRIDGE NR MORAN WY,56,WY,I,-999999,-110.586925,43.903708,-110.586669,43.903652,21.352,Y,0,0,0,0,19970509,19970930,145,145,18,18,20,22,25.2,29,35,57.4,81,145,402,562,750,1120,1437,1963.2,2000,359.055,488.699,1,17040101,17,1704,170401
NA,0,11/21/2006 0:00:00,17050112000107,NA,medium,0,0,"USGS, Water Resources Division",NA,13198000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13198000,37.071428,0,StreamGage,USGS,ELK CR AB GOLD HILL PLACER DIV NR IDAHO CITY ID,16,ID,I,13.1,-115.799861,43.902855,-115.799887,43.902827,3.737,Y,0,0,0,0,19400204,19400930,240,240,4.2,4.2,4.4,4.6,5.5,6.1,6.5,7.28,11,15,30.7,40.5,42,52.9,61,72.36,95,21.257,19.913,1,17050112,17,1705,170501
NA,0,11/21/2006 0:00:00,17060201000563,NA,medium,0,0,"USGS, Water Resources Division",NA,13292280,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13292280,46.631318,0,StreamGage,USGS,SALMON RIVER @ POLE CR ROAD ABV DIV NR OBSIDIAN ID,16,ID,A,29.1,-114.79,43.901944,-114.790438,43.902231,47.495,Y,0,0,0,0,20030501,20040930,336,336,5.3,5.537,6.585,6.97,7.8,8.4,9.3,13,17,24,31.9,36,46,80,140.45,212.6,250,33.032,40.989,1,17060201,17,1706,170602
NA,0,11/21/2006 0:00:00,17040214000018,NA,medium,0,0,"USGS, Water Resources Division",NA,13114500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13114500,41.363486,0,StreamGage,USGS,CAMAS CREEK NR HAMER ID,16,ID,I,880,-112.285986,43.900763,-112.286247,43.900852,23.104,Y,0,0,0,0,19120428,19130315,322,322,2.4,2.8,6.8,8.72,13,15,18,23,25,25,26,29,32,41,46,78,84,24.613,13.085,1,17040214,17,1704,170402
NA,0,11/21/2006 0:00:00,17050117000041,NA,medium,0,0,"USGS, Water Resources Division",NA,13220000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13220000,42.638666,0,StreamGage,USGS,"MALHEUR RIVER AT LITTLE VALLEY NEAR HOPE,OREG.",41,OR,I,3010,-117.507963,43.899325,-117.508552,43.899047,56.405,Y,30,0.572,0.113,1,19490417,19790930,11124,11124,7.4,13,21,32,44,48,52,70,102,142,176,193,213,298,674,1880,7470,192.025,371.845,1,17050117,17,1705,170501
NA,0,11/21/2006 0:00:00,17040204000032,NA,medium,0,0,"USGS, Water Resources Division",NA,13055198,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055198,36.600694,0,StreamGage,USGS,NORTH FORK TETON RIVER AT TETON ID,16,ID,I,-999999,-111.678017,43.897967,-111.677986,43.897926,5.263,Y,26,0.773,0.046,1,19770401,20030930,9679,9679,5.9,20,57,81,114,126,140,169,215,277,345,383,444,720,1010,1530,2430,321.423,312.902,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17050122000106,NA,medium,0,0,"USGS, Water Resources Division",NA,13250000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13250000,64.240339,0,StreamGage,USGS,PAYETTE RIVER NR LETHA ID,16,ID,A,2760,-116.627777,43.896111,-116.627464,43.896766,77.304,Y,18,0.751,0.047,1,19520711,20040930,6671,6671,63,130.72,221.6,546,933.4,1010,1090,1270,1570,2050,2980,3800,4906,7558,9530,12828,27000,2888.976,2982.942,1,17050122,17,1705,170501
NA,0,11/21/2006 0:00:00,17040204000040,NA,medium,0,0,"USGS, Water Resources Division",NA,13055210,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055210,67.756661,0,StreamGage,USGS,NF TETON RIVER AT AUX BRDG SITE NR TETON ID,16,ID,I,-999999,-111.697625,43.894016,-111.697722,43.894438,47.646,Y,1,0.575,-999999,1,19770401,19780930,460,460,0.1,0.2,1.05,7,32,58,66,84.4,105.5,140,172,200,225,409,539.5,832.9,980,160.573,170.98,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000048,NA,medium,0,0,"USGS, Water Resources Division",NA,13055230,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055230,78.762848,0,StreamGage,USGS,NF TETON RIVER AT POWERLINE RD NR TETON ID,16,ID,I,-999999,-111.717625,43.893402,-111.717653,43.89323,19.335,Y,1,0.584,-999999,1,19770401,19780930,460,460,0.1,0.2,1.05,7,32,58,66.3,84.4,105,135,171.4,205,238,384.5,510,743.4,930,156.197,160.729,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040215088219,NA,medium,0,0,"USGS, Water Resources Division",NA,13115000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13115000,99.997914,0,StreamGage,USGS,MUD LAKE NR TERRETON ID,16,ID,I,1130,-112.359444,43.890555,-112.359535,43.89001,61.192,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17040215,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000047,NA,medium,0,0,"USGS, Water Resources Division",NA,13055250,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055250,58.58229,0,StreamGage,USGS,NF TETON RIVER NR SUGAR CITY ID,16,ID,A,-999999,-111.758055,43.887222,-111.757728,43.887344,29.507,Y,2,0.568,0.024,1,19770401,20040930,948,935,0,0,2,6.67,27.8,50,60,73.6,90,109,130,150,170,250.1,410,715.1,1100,124.553,136.581,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000023,NA,medium,0,0,"USGS, Water Resources Division",NA,13055300,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055300,52.059859,0,StreamGage,USGS,NF TETON RIVER AT LAST BRIDGE NR SALEM ID,16,ID,I,-999999,-111.817744,43.886022,-111.817741,43.886714,77.257,Y,1,0.548,-999999,1,19770401,19780930,460,460,3,7.525,12,18,50,68.5,82.6,105,135,178,213.5,235,250,390,510,769.5,930,178.04,160.876,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040217000026,NA,medium,0,0,"USGS, Water Resources Division",NA,13119000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13119000,2.622979,0,StreamGage,USGS,LITTLE LOST RIVER NR HOWE ID,16,ID,I,703,-113.100837,43.886014,-113.100692,43.886245,28.315,Y,57,0.912,0.025,1,19210501,19900930,20938,20563,0,0,21,28,37,41,46,56,66,78,90,97,106,140,168,227,304,75.421,46.027,1,17040217,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000042,NA,medium,0,0,"USGS, Water Resources Division",NA,13055270,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13055270,17.209949,0,StreamGage,USGS,NF TETON RIVER AT HWY BRIDGE NR SALEM ID,16,ID,I,-999999,-111.777743,43.882411,-111.777632,43.882725,36.178,Y,1,0.594,-999999,1,19770401,19780930,460,460,3,9.05,22,29,56,68.25,86,104,129.5,155.6,190.7,218.75,240,409.5,534.5,798.15,955,174.272,160.984,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17050115000106,NA,medium,0,0,"USGS, Water Resources Division",NA,13213100,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13213100,49.660276,0,StreamGage,USGS,SNAKE RIVER AT NYSSA OR,16,ID,A,58700,-116.9825,43.876111,-116.983741,43.876579,112.297,Y,27,0.906,0.035,1,19741126,20040930,10032,10032,4240,5206.6,6296.5,7050,8100,8490,8780,9480,10400,11800,14100,15900,18000,25500,33100,43900,57400,13712.502,8420.157,1,17050115,17,1705,170501
NA,0,11/21/2006 0:00:00,17050122000208,NA,medium,0,0,"USGS, Water Resources Division",NA,13248500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13248500,68.223031,0,StreamGage,USGS,HARRIS CREEK NR HORSESHOE BEND ID,16,ID,I,17,-116.101525,43.876597,-116.101455,43.876365,26.399,Y,1,0.718,-999999,1,19111114,19121231,375,375,0.6,0.7,1.66,3.2,3.6,4,4.48,6.8,7.8,12,18,22,35.2,64.8,87.8,130,164,21.562,29.036,1,17050122,17,1705,170501
NA,0,11/21/2006 0:00:00,17050112000126,NA,medium,0,0,"USGS, Water Resources Division",NA,13199500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13199500,83.660441,0,StreamGage,USGS,GRIMES CREEK AT NEW CENTERVILLE ID,16,ID,I,-999999,-115.915508,43.865194,-115.915555,43.865235,5.965,Y,0,0,0,0,19660301,19660930,214,200,0,0,0,3.05,3.4,3.4,3.6,8.3,24,57,105,117.5,132,184,211.75,298,298,64.296,75.329,1,17050112,17,1705,170501
NA,0,11/21/2006 0:00:00,17040218000100,NA,medium,0,0,"USGS, Water Resources Division",NA,13130500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13130500,44.824206,0,StreamGage,USGS,BIG LOST RIVER AT LESLIE ID,16,ID,I,1020,-113.456675,43.858747,-113.45676,43.858594,18.334,Y,3,0.68,0.029,1,19190508,19221022,1107,1107,24,50.08,58,63.8,75,82,92,107,118,140,251,317,405,606.4,914.2,1640,2500,259.766,332.129,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17040101007426,NA,medium,0,0,"USGS, Water Resources Division",NA,13011000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13011000,34.115787,0,StreamGage,USGS,SNAKE RIVER NR MORAN WY,56,WY,A,807,-110.585833,43.858333,-110.586578,43.85778,85.809,Y,101,0.68,0.174,1,19031001,20040930,36891,36891,0.3,4,10,18,36,62,189,386,491,764,1810,2410,2820,4270,5570,7954,14700,1445.515,1934.127,1,17040101,17,1704,170401
NA,0,11/21/2006 0:00:00,17040101007426,NA,medium,0,0,"USGS, Water Resources Division",NA,13010500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13010500,59.463186,0,StreamGage,USGS,JACKSON LAKE NR MORAN WY,56,WY,I,807,-110.589977,43.857905,-110.590568,43.857753,50.249,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17040101,17,1704,170401
NA,0,11/21/2006 0:00:00,17040218000352,NA,medium,0,0,"USGS, Water Resources Division",NA,13130000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13130000,92.918671,0,StreamGage,USGS,ALDER CREEK NR MACKAY ID,16,ID,I,37,-113.552108,43.851786,-113.552414,43.852033,36.894,Y,1,0.802,-999999,1,19200429,19220930,524,524,2.5,4,5.7,6,8,8,9,11,13,18,25,28,32,60,65.75,98,113,22.717,21.697,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17040101000191,NA,medium,0,0,"USGS, Water Resources Division",NA,13011500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13011500,63.280083,0,StreamGage,USGS,PACIFIC CREEK AT MORAN WY,56,WY,A,169,-110.517777,43.850277,-110.517059,43.85086,86.82,Y,57,0.662,0.114,1,19170720,20040930,21084,21084,18,28,34,38,45,48,50,57,65,80,115,159,269,900,1370,2380,4170,266.539,492.16,1,17040101,17,1704,170401
NA,0,11/21/2006 0:00:00,17040218000155,NA,medium,0,0,"USGS, Water Resources Division",NA,13121500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13121500,5.651528,0,StreamGage,USGS,BIG LOST RIVER AT CHILLY BRIDGE NR CHILLY ID,16,ID,I,502,-113.877908,44.059569,-113.877785,44.05949,13.153,Y,0,0,0,0,19200624,19200930,99,33,0,0,0,0,0,0,0,0,0,0,56,140,176,425,547,0,654,97.303,177.751,1,17040218,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000226,NA,medium,0,0,"USGS, Water Resources Division",NA,13054000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13054000,63.898213,0,StreamGage,USGS,TETON RIVER NR TETONIA ID,16,ID,I,471,-111.252705,43.849644,-111.253143,43.84962,35.159,Y,20,0.861,0.042,1,19291001,19570930,7324,7324,62,140,170,194.5,215,230,250,280,318.5,359,419,454,510,689,932,1320,1870,391.602,244.753,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000154,NA,medium,0,0,"USGS, Water Resources Division",NA,13054600,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13054600,92.805917,0,StreamGage,USGS,CANYON CREEK AT HWY 33 NR NEWDALE ID,16,ID,I,79.9,-111.445509,43.845469,-111.445648,43.845485,11.277,Y,3,0.552,0.111,1,19741001,19771102,1129,1088,0,0,0.04,0.52,1.8,2.4,5.9,9.4,11,12,15,16,20,73,242.5,442.2,644,36.956,88.258,1,17040204,17,1704,170402
NA,0,11/21/2006 0:00:00,17070304000021,NA,medium,0,0,"USGS, Water Resources Division",NA,14080250,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14080250,12.760982,0,StreamGage,USGS,"BEAR CREEK NEAR PRINEVILLE,OREG.",41,OR,I,205,-120.732788,44.06096,-120.733222,44.059432,173.809,Y,6,0.521,0.184,1,19751001,19811005,2197,2197,0.13,0.22,0.36,0.57,1.1,1.3,1.4,1.7,2.2,2.7,3.4,4.5,5.9,15,33.1,90.08,278,7.106,18.841,1,17070304,17,1707,170703
NA,0,11/21/2006 0:00:00,17050112000103,NA,medium,0,0,"USGS, Water Resources Division",NA,13198500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13198500,5.676294,0,StreamGage,USGS,ELK CREEK NR IDAHO CITY ID,16,ID,I,22.3,-115.826202,43.842016,-115.826332,43.842144,17.58,Y,1,0.556,-999999,1,19390120,19400204,381,381,0.2,0.2,0.4,1,1.8,2.4,2.9,4.5,7,8,8.4,9,11,53.6,64.9,78.18,84,13.095,19.814,1,17050112,17,1705,170501
NA,0,11/21/2006 0:00:00,17040203000760,NA,medium,0,0,"USGS, Water Resources Division",NA,13050543,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13050543,89.558872,0,StreamGage,USGS,INDEPENDENT CANAL DRAIN NR REXBURG ID,16,ID,I,-999999,-111.897208,43.840788,-111.897016,43.840691,18.795,Y,1,0.232,-999999,1,19880701,19900930,622,507,0,0,0,0,0.12,1.5,3.1,6,8.6,12,15,17,19,24,28.85,35,46,10.499,9.565,1,17040203,17,1704,170402
NA,0,11/21/2006 0:00:00,17040101000110,NA,medium,0,0,"USGS, Water Resources Division",NA,13011900,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13011900,39.842057,0,StreamGage,USGS,BUFFALO FORK AB LAVA CREEK NR MORAN WY,56,WY,A,323,-110.441111,43.838055,-110.440721,43.837716,49.03,Y,39,0.722,0.063,1,19651001,20040930,14245,14245,60,90,101,110,125,130,140,160,192,245,338,448.5,670.8,1610,2380,3770.8,5880,531.667,793.38,1,17040101,17,1704,170401
NA,0,11/21/2006 0:00:00,17040203000237,NA,medium,0,0,"USGS, Water Resources Division",NA,13047600,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13047600,25.590378,0,StreamGage,USGS,FALLS RIVER NR ASHTON ID,16,ID,A,-999999,-111.358611,44.056111,-111.358528,44.056762,72.956,Y,10,0.83,0.037,1,19931116,20040930,3972,3972,194,263.46,340,385,420,435,453,488,543,599.8,681.1,797.25,1070,1870,2590,3882.7,5250,839.101,753.277,1,17040203,17,1704,170402
NA,0,11/21/2006 0:00:00,17040204000489,NA,medium,0,0,"USGS, Water Resources Division",NA,13053500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13053500,56.763636,0,StreamGage,USGS,SPRING CREEK NR TETONIA ID,16,ID,I,-999999,-111.117166,43.839363,-111.118263,43.837646,210.689,Y,4,0.955,0.013,1,19460601,19500930,1583,1583,1,1,1.6,2,2.5,2.8,2.9,3.2,3.5,4,4.8,5.1,5.3,6.7,7.5,8.1,9,3.953,1.725,1,17040204,17,1704,170402
